Partner Countries,Year,Value
Singapore,1998,300
Somalia,2002,0
South Africa,2000,0
South Africa,2018,87
Spain,1986,260
Spain,1989,105
Spain,2001,1381
Spain,2002,10029
Spain,2003,17653
Spain,2004,10538
Spain,2005,18176
Spain,2006,739
Spain,2007,96
Spain,2013,193
Spain,2015,1381
Spain,2016,527
Spain,2017,645
Spain,2018,1402
Spain,2019,1453
Spain,2020,906
Sri Lanka,1988,982
Sri Lanka,1989,653
Sri Lanka,1998,5
Sri Lanka,2000,0
Sri Lanka,2001,315
Sri Lanka,2002,24
Sri Lanka,2003,18
Sri Lanka,2004,34
Sri Lanka,2005,277
Sri Lanka,2006,31
Sri Lanka,2007,54
Sri Lanka,2010,209
Sri Lanka,2014,26
Sri Lanka,2016,87
Sri Lanka,2017,70
Sri Lanka,2018,162
Sri Lanka,2019,67
Sri Lanka,2020,113
Sudan (former),2007,150
Switzerland,2001,0
Switzerland,2004,1
Switzerland,2005,2
Switzerland,2006,4
Switzerland,2007,4
Syrian Arab Republic,2007,313
Thailand,1986,99530
Thailand,1987,91728
Thailand,1988,129349
Thailand,1989,53189
Thailand,1998,53249
Thailand,2000,57248
Thailand,2001,61958
Thailand,2002,50382
Thailand,2003,41753
Thailand,2004,61234
Thailand,2005,50513
Thailand,2006,45956
Thailand,2007,78343
Thailand,2009,194789
Thailand,2010,138429
Thailand,2011,124809
Thailand,2012,77512
Thailand,2013,77335
Thailand,2014,75264
Thailand,2015,72838
Thailand,2016,68439
Thailand,2017,59042
Thailand,2018,62574
Thailand,2019,44520
Thailand,2020,31377
Turkey,2004,21
Turkey,2005,0
Turkey,2010,467
Turkey,2012,208
Turkey,2014,200
Turkey,2016,
Turkey,2017,
Turkey,2018,6
Turkey,2019,1
Turkey,2020,
Ukraine,2019,0
United Arab Emirates,1986,45
United Arab Emirates,1998,33
United Arab Emirates,2000,97
United Arab Emirates,2001,143
United Arab Emirates,2002,172
United Arab Emirates,2003,273
United Arab Emirates,2004,291
United Arab Emirates,2005,306
United Arab Emirates,2006,267
United Arab Emirates,2007,352
United Arab Emirates,2014,93
United Arab Emirates,2016,4
United Arab Emirates,2018,96
United Arab Emirates,2019,6
United Arab Emirates,2020,72
United Kingdom of Great Britain and Northern Ireland,1986,8
United Kingdom of Great Britain and Northern Ireland,1998,3
United Kingdom of Great Britain and Northern Ireland,2000,0
United Kingdom of Great Britain and Northern Ireland,2001,0
United Kingdom of Great Britain and Northern Ireland,2002,1
United Kingdom of Great Britain and Northern Ireland,2003,3
United Kingdom of Great Britain and Northern Ireland,2004,3
United Kingdom of Great Britain and Northern Ireland,2005,94
United Kingdom of Great Britain and Northern Ireland,2006,4
United Kingdom of Great Britain and Northern Ireland,2007,3
United Kingdom of Great Britain and Northern Ireland,2015,7
United Kingdom of Great Britain and Northern Ireland,2016,
United Kingdom of Great Britain and Northern Ireland,2017,7
United Kingdom of Great Britain and Northern Ireland,2018,14
United Kingdom of Great Britain and Northern Ireland,2019,3
United Kingdom of Great Britain and Northern Ireland,2020,6
United States of America,1986,107870
United States of America,1987,101946
United States of America,1988,88207
United States of America,1989,42181
United States of America,1998,120777
United States of America,2000,128651
United States of America,2001,110372
United States of America,2002,58822
United States of America,2003,44161
United States of America,2004,73273
United States of America,2005,88134
United States of America,2006,76568
United States of America,2007,104884
United States of America,2009,108085
United States of America,2010,105540
United States of America,2011,125234
United States of America,2012,121329
United States of America,2013,125962
United States of America,2014,103726
United States of America,2015,102997
United States of America,2016,112782
United States of America,2017,125507
United States of America,2018,90510
United States of America,2019,103685
United States of America,2020,112894
Uruguay,1986,1000
Uruguay,1987,800
Uruguay,1988,1310
Uruguay,2001,1160
Uruguay,2003,22
Uzbekistan,2020,83
Venezuela (Bolivarian Republic of),1986,712
Viet Nam,1998,16
Viet Nam,2003,12
Viet Nam,2005,145
Viet Nam,2006,1129
Viet Nam,2007,530
Viet Nam,2009,4577
Viet Nam,2010,2000
Viet Nam,2011,1315
Viet Nam,2012,6425
Viet Nam,2013,5266
Viet Nam,2014,8275
Viet Nam,2015,13150
Viet Nam,2016,14626
Viet Nam,2017,14601
Viet Nam,2018,20941
Viet Nam,2019,27803
Viet Nam,2020,32292
Yemen,2001,90
Yemen,2007,173
