Partner Countries,Year,Value
Canada,1989,25800
Canada,1991,26400
Canada,1992,60025
Canada,1994,39912
Canada,1996,123129
Canada,1999,15514
Canada,2000,50821
Canada,2001,271573
Canada,2003,3025
Canada,2004,2000
Canada,2005,5999
Canada,2006,226780
Canada,2007,73000
Canada,2009,48765
Canada,2011,250645
Canada,2013,21
Canada,2014,21999
Canada,2015,40434
Canada,2017,9184
Canada,2018,34901
Canada,2019,64
Canada,2020,8391
"China, mainland",2000,25363
"China, mainland",2006,2000
"China, mainland",2009,8330
"China, Taiwan Province of",2003,555
Croatia,1999,4246
Croatia,2002,2920
Croatia,2003,15155
Croatia,2004,6746
Croatia,2005,12705
Croatia,2006,74045
Cyprus,2002,3000
Cyprus,2003,17900
Cyprus,2006,5000
Czechia,2003,32597
Czechia,2005,11000
Czechia,2006,25349
Czechia,2007,321752
Czechia,2009,3354
Denmark,1990,43750
Denmark,1992,25000
Denmark,1993,30000
Denmark,2013,1000
Dominica,2009,3147
Ecuador,2000,17520
Estonia,2009,4188
Finland,2015,0
Finland,2016,0
France,1987,188602
France,1988,365911
France,1989,241809
France,1990,910665
France,1991,177499
France,1993,288198
France,1994,44042
France,1995,281823
France,1996,15085
France,1998,900051
France,1999,141940
France,2000,210590
France,2001,433034
France,2002,863976
France,2003,873366
France,2004,477103
France,2005,559805
France,2006,517999
France,2007,120341
France,2009,890907
France,2011,1023039
France,2013,74565
France,2014,1298531
France,2015,1562924
France,2016,633277
France,2017,217145
France,2018,67
France,2019,625830
France,2020,593422
Germany,1994,869
Germany,1999,300
Germany,2001,92147
Germany,2002,28044
Germany,2003,76308
Germany,2004,35076
Germany,2006,48886
Germany,2009,42381
Germany,2011,4
Germany,2013,59
Germany,2014,51335
Germany,2015,
Germany,2016,79820
Germany,2017,55
Hungary,2001,492
Hungary,2002,52555
Hungary,2005,4865
Hungary,2006,4529
Hungary,2013,5852
Hungary,2014,
Hungary,2020,19171
India,2001,27500
India,2002,50419
India,2005,30
India,2007,2000
Indonesia,2001,63000
Indonesia,2002,1000
Indonesia,2005,2254
Indonesia,2009,2352
Iraq,2006,5000
Ireland,2001,63000
Italy,1990,7136
Italy,1991,13657
Italy,2009,13670
Italy,2013,1
Italy,2015,
Italy,2020,0
Jordan,2003,1125
Jordan,2005,21000
Jordan,2006,64596
Jordan,2007,27512
Kazakhstan,2000,10584
Kazakhstan,2002,5250
Kazakhstan,2003,2232
Kazakhstan,2005,3001
Kazakhstan,2006,12019
Kazakhstan,2007,339911
Kazakhstan,2013,7
Kazakhstan,2017,6195
Kyrgyzstan,2006,2007
Latvia,2009,3891
Latvia,2014,27485
Latvia,2015,
Latvia,2017,28903
Lebanon,2009,23078
Lebanon,2015,25000
Libya,1991,20
Lithuania,2002,4270
Lithuania,2009,19219
Lithuania,2011,15474
Lithuania,2014,213810
Lithuania,2015,5000
Lithuania,2016,6127
Lithuania,2018,38029
Lithuania,2020,23518
Malaysia,1999,60000
Malaysia,2009,2077
Maldives,2014,
Mexico,1999,9486
Mexico,2001,10000
Mexico,2006,6500
Mexico,2009,2637
Mexico,2013,0
Mexico,2014,0
Netherlands,2001,1
Netherlands,2006,254
Netherlands,2009,5638
Netherlands,2019,1
New Zealand,2000,6262
New Zealand,2001,1000
New Zealand,2006,63000
North Macedonia,2005,4000
Norway,2006,2997
Oman,2002,9043
Pakistan,2001,15000
Pakistan,2002,15737
Pakistan,2003,25240
Pakistan,2007,45000
Peru,2005,5000
Poland,2000,57500
Poland,2002,18185
Poland,2003,31850
Poland,2009,164844
Poland,2013,20014
Poland,2014,87300
Poland,2015,651899
Poland,2016,412349
Poland,2017,282701
Poland,2018,138721
Poland,2019,128333
Portugal,2006,2000
Republic of Korea,2002,8540
Republic of Korea,2017,170945
Republic of Moldova,2007,2500
Republic of Moldova,2009,2396
Republic of Moldova,2011,3294
Republic of Moldova,2013,44656
Republic of Moldova,2014,7274
Republic of Moldova,2015,
Republic of Moldova,2019,9
Romania,1996,2929
Romania,2002,7870
Romania,2003,4250
Romania,2004,13124
Romania,2005,2154
Romania,2006,50888
Romania,2007,29500
Romania,2011,165635
Romania,2013,1803935
Romania,2014,1809852
Romania,2015,1159582
Romania,2016,1297052
Romania,2017,1102094
Romania,2018,1104706
Romania,2019,1286086
Romania,2020,294522
Russian Federation,2001,19734
Russian Federation,2002,1104198
Russian Federation,2003,870193
Russian Federation,2004,504297
Russian Federation,2005,2307969
Russian Federation,2006,1885156
Russian Federation,2007,2501390
Russian Federation,2009,1599119
Russian Federation,2011,3777012
Russian Federation,2013,1687295
Russian Federation,2014,4057024
Russian Federation,2015,4533808
Russian Federation,2016,5823786
Russian Federation,2017,7831131
Russian Federation,2018,9198030
Russian Federation,2019,5743949
Russian Federation,2020,5460508
Saudi Arabia,1986,74243
Saudi Arabia,1987,34704
Saudi Arabia,1991,237531
Saudi Arabia,2004,55659
Saudi Arabia,2014,
Slovakia,2003,12332
Slovenia,2001,17872
Slovenia,2002,139244
Slovenia,2003,3560
Slovenia,2004,2200
Slovenia,2005,46076
Slovenia,2006,30137
Slovenia,2007,29252
Somalia,2003,1000
South Africa,1999,4863
Spain,1999,57600
Spain,2001,11560
Spain,2003,3410
Spain,2009,5049
Spain,2015,
Sri Lanka,2004,4000
Sri Lanka,2006,3012
Sweden,1990,27009
Sweden,1994,24711
Sweden,2003,17000
Sweden,2006,2000
Switzerland,2009,3465
Syrian Arab Republic,2000,0
Syrian Arab Republic,2002,105
Syrian Arab Republic,2003,144455
Syrian Arab Republic,2004,188576
Syrian Arab Republic,2005,157700
Syrian Arab Republic,2006,399558
Syrian Arab Republic,2007,229128
Syrian Arab Republic,2011,2
Thailand,2002,5270
Thailand,2004,13700
Thailand,2006,39715
Thailand,2007,3000
Thailand,2011,1
Turkey,1991,12600
Turkey,1999,172877
Turkey,2000,123638
Turkey,2001,326833
Turkey,2005,2000
Turkey,2006,92925
Turkey,2009,4020
Turkey,2014,
Ukraine,1999,10091
Ukraine,2002,390419
Ukraine,2003,69625
Ukraine,2004,28700
Ukraine,2005,89616
Ukraine,2006,330105
Ukraine,2007,204600
Ukraine,2009,99209
Ukraine,2011,390818
Ukraine,2013,6463404
Ukraine,2014,2843061
Ukraine,2015,1803065
Ukraine,2016,2407006
Ukraine,2017,2558049
Ukraine,2018,1600458
Ukraine,2019,1767563
Ukraine,2020,2317534
United Arab Emirates,2005,2000
United Kingdom of Great Britain and Northern Ireland,1990,36483
United Kingdom of Great Britain and Northern Ireland,1992,85000
United Kingdom of Great Britain and Northern Ireland,2005,4000
United Kingdom of Great Britain and Northern Ireland,2006,12838
United Kingdom of Great Britain and Northern Ireland,2007,80
United Kingdom of Great Britain and Northern Ireland,2009,1475
United Kingdom of Great Britain and Northern Ireland,2020,2
United States of America,1986,1293909
United States of America,1988,1543622
United States of America,1989,2083432
United States of America,1990,1269639
United States of America,1991,1736254
United States of America,1992,3552272
United States of America,1994,4660222
United States of America,1995,4731655
United States of America,1996,4245145
United States of America,1998,3621859
United States of America,1999,4495122
United States of America,2000,3522764
United States of America,2001,2308777
United States of America,2002,1797682
United States of America,2003,1488056
United States of America,2004,1761711
United States of America,2005,943978
United States of America,2006,859863
United States of America,2007,1601394
United States of America,2009,444159
United States of America,2011,2771233
United States of America,2013,91094
United States of America,2014,432086
United States of America,2015,354424
United States of America,2016,82270
United States of America,2017,263433
United States of America,2019,782095
United States of America,2020,75282
Uruguay,2000,8750
Uruguay,2005,72633
Uruguay,2013,39
Yemen,2007,10000
Yugoslav SFR,1990,25778
