Partner Countries,Item,Year
Yemen,Wheat,1998
Yemen,Wheat,2000
Yemen,Wheat,2001
Yemen,Wheat,2002
Yemen,Wheat,2003
Yemen,Wheat,2004
Yemen,Wheat,2005
Yemen,Wheat,2006
Yemen,Wheat,2007
Yemen,Wheat,2010
Yemen,Wheat,2011
Yemen,Wheat,2013
Yemen,Wheat,2014
Yemen,Wheat,2017
Yemen,Wheat,2018
Yemen,Wheat,2019
Yemen,Wheat,2020
